+----+------------+---------+---------+---------+---------+------------------+-----------+-------------------+---------------------+
|    | Date       |    Open |    High |     Low |   Close |   Adjusted Close |    Volume |   Dividend Amount |   Split Coefficient |
| 51 | 2023-04-05 | 190.515 | 190.68  | 183.76  |  185.52 |           185.52 | 133882493 |                 0 |                   1 |
| 52 | 2023-04-04 | 197.32  | 198.745 | 190.32  |  192.58 |           192.58 | 126463845 |                 0 |                   1 |
| 53 | 2023-04-03 | 199.91  | 202.69  | 192.2   |  194.77 |           194.77 | 169545900 |                 0 |                   1 |
| 54 | 2023-03-31 | 197.53  | 207.79  | 197.2   |  207.46 |           207.46 | 170222118 |                 0 |                   1 |
| 55 | 2023-03-30 | 195.58  | 197.33  | 194.42  |  195.28 |           195.28 | 110252238 |                 0 |                   1 |
| 56 | 2023-03-29 | 193.13  | 195.29  | 189.44  |  193.88 |           193.88 | 123660026 |                 0 |                   1 |
| 57 | 2023-03-28 | 192     | 192.35  | 185.43  |  189.19 |           189.19 |  98654635 |                 0 |                   1 |
| 58 | 2023-03-27 | 194.415 | 197.39  | 189.94  |  191.81 |           191.81 | 120851587 |                 0 |                   1 |
| 59 | 2023-03-24 | 191.65  | 192.36  | 187.15  |  190.41 |           190.41 | 116531584 |                 0 |                   1 |
| 60 | 2023-03-23 | 195.26  | 199.31  | 188.65  |  192.22 |           192.22 | 144193876 |                 0 |                   1 |
| 61 | 2023-03-22 | 199.3   | 200.66  | 190.95  |  191.15 |           191.15 | 150376373 |                 0 |                   1 |
| 62 | 2023-03-21 | 188.28  | 198     | 188.04  |  197.58 |           197.58 | 153391444 |                 0 |                   1 |
| 63 | 2023-03-20 | 178.08  | 186.44  | 176.35  |  183.25 |           183.25 | 129684359 |                 0 |                   1 |
| 64 | 2023-03-17 | 184.515 | 186.22  | 177.33  |  180.13 |           180.13 | 133197140 |                 0 |                   1 |
| 65 | 2023-03-16 | 180.365 | 185.81  | 178.84  |  184.13 |           184.13 | 121374453 |                 0 |                   1 |
| 66 | 2023-03-15 | 180.8   | 182.34  | 176.03  |  180.45 |           180.45 | 145995583 |                 0 |                   1 |
| 67 | 2023-03-14 | 177.31  | 183.8   | 177.14  |  183.26 |           183.26 | 143717897 |                 0 |                   1 |
| 68 | 2023-03-13 | 167.455 | 177.35  | 163.91  |  174.48 |           174.48 | 167790256 |                 0 |                   1 |
| 69 | 2023-03-10 | 175.13  | 178.29  | 168.44  |  173.44 |           173.44 | 191488872 |                 0 |                   1 |
| 70 | 2023-03-09 | 180.25  | 185.18  | 172.512 |  172.92 |           172.92 | 170023794 |                 0 |                   1 |
| 71 | 2023-03-08 | 185.04  | 186.5   | 180     |  182    |           182    | 151897763 |                 0 |                   1 |
| 72 | 2023-03-07 | 191.38  | 194.2   | 186.1   |  187.71 |           187.71 | 148125790 |                 0 |                   1 |
| 73 | 2023-03-06 | 198.54  | 198.6   | 192.3   |  193.81 |           193.81 | 128100106 |                 0 |                   1 |
| 74 | 2023-03-03 | 194.795 | 200.48  | 192.88  |  197.79 |           197.79 | 154193277 |                 0 |                   1 |
